pitcher_name,pitcher_lefty,fastball_rate,sinker_rate,slider_rate,changeup_rate,knuckle_curve_rate,curveball_rate,cutter_rate,splitter_rate,other_rate
Andrew Nardi,True,0.6336898395721925,0.0,0.3155080213903743,0.0508021390374331,0.0,0.0,0.0,0.0,0.0
Andrew Vasquez,True,0.0,0.2875816993464052,0.0,0.0,0.0,0.7124183006535948,0.0,0.0,0.0
Andrew Wantz,False,0.4945848375451263,0.0,0.2851985559566787,0.0553549939831528,0.0,0.0,0.1648616125150421,0.0,0.0
Angel De Jesus,False,0.0,0.5487179487179488,0.4051282051282051,0.041025641025641,0.0,0.0051282051282051,0.0,0.0,0.0
Angel Zerpa,True,0.4968152866242038,0.0955414012738853,0.2611464968152866,0.1464968152866242,0.0,0.0,0.0,0.0,0.0
Anibal Sanchez,False,0.1653225806451612,0.1911290322580645,0.0612903225806451,0.2540322580645161,0.0,0.0556451612903225,0.2661290322580645,0.0,0.0064516129032258
Anthony Banda,True,0.316546762589928,0.2050359712230215,0.0089928057553956,0.3705035971223021,0.0,0.0899280575539568,0.0,0.0,0.0089928057553956
Anthony Bass,False,0.0989898989898989,0.302020202020202,0.5545454545454546,0.0,0.0,0.0,0.0,0.0404040404040404,0.004040404040404
Anthony Bender,False,0.0182481751824817,0.5948905109489051,0.3321167883211678,0.0547445255474452,0.0,0.0,0.0,0.0,0.0
Anthony Castro,False,0.3961538461538461,0.0961538461538461,0.4846153846153846,0.023076923076923,0.0,0.0,0.0,0.0,0.0
Anthony DeSclafani,False,0.1367781155015197,0.2887537993920973,0.3860182370820669,0.0577507598784194,0.1306990881458966,0.0,0.0,0.0,0.0
Anthony Gose,True,0.6412213740458015,0.0,0.3460559796437659,0.0025445292620865,0.0,0.0,0.0,0.0,0.010178117048346
Anthony Misiewicz,True,0.2804347826086956,0.0,0.008695652173913,0.0,0.0,0.3304347826086956,0.3630434782608696,0.0,0.017391304347826
Antonio Senzatela,False,0.539776462853386,0.0499671268902038,0.2695595003287311,0.0756081525312294,0.0,0.0650887573964497,0.0,0.0,0.0
Archie Bradley,False,0.2922077922077922,0.2727272727272727,0.0,0.1558441558441558,0.2694805194805195,0.0,0.0,0.0,0.0097402597402597
Arodys Vizcaino,False,0.5652173913043478,0.0260869565217391,0.391304347826087,0.017391304347826,0.0,0.0,0.0,0.0,0.0
Aroldis Chapman,True,0.5552282768777614,0.0500736377025036,0.2459499263622974,0.0,0.0,0.0,0.0,0.1487481590574374,0.0
Art Warren,False,0.4142640364188164,0.0,0.5796661608497724,0.0,0.0,0.0,0.0,0.0,0.0060698027314112
Ashton Goudeau,False,0.5493333333333333,0.0,0.0,0.1706666666666666,0.0,0.28,0.0,0.0,0.0
Austin Brice,False,0.2924528301886792,0.2358490566037736,0.0,0.0,0.0,0.4716981132075472,0.0,0.0,0.0
Austin Davis,True,0.4304812834224599,0.0240641711229946,0.3814616755793226,0.159536541889483,0.0,0.0008912655971479,0.0,0.0,0.0035650623885918
Austin Gomber,True,0.4062045564711585,0.0,0.245758603974794,0.1754726126999515,0.1706253029568589,0.0,0.0,0.0,0.001938923897237
Austin Pruitt,False,0.3448702101359703,0.0,0.4066749072929542,0.0543881334981458,0.0,0.1940667490729295,0.0,0.0,0.0
